Freq [GHz],"dB(St(Feed,Feed)) []"
1.395,0
1.3950125,0
1.395025,0
1.3950375,0
1.39505,0
1.3950625,0
1.395075,0
1.3950875,0
1.3951,0
1.3951125,0
1.395125,0
1.3951375,0
1.39515,0
1.3951625,0
1.395175,0
1.3951875,0
1.3952,0
1.3952125,0
1.395225,0
1.3952375,0
1.39525,0
1.3952625,0
1.395275,0
1.3952875,0
1.3953,0
1.3953125,0
1.395325,0
1.3953375,0
1.39535,0
1.3953625,0
1.395375,0
1.3953875,0
1.3954,0
1.3954125,0
1.395425,0
1.3954375,0
1.39545,0
1.3954625,0
1.395475,0
1.3954875,0
1.3955,0
1.3955125,0
1.395525,0
1.3955375,0
1.39555,0
1.3955625,0
1.395575,0
1.3955875,0
1.3956,0
1.3956125,0
1.395625,0
1.3956375,0
1.39565,0
1.3956625,0
1.395675,0
1.3956875,0
1.3957,0
1.3957125,0
1.395725,0
1.3957375,0
1.39575,0
1.3957625,0
1.395775,0
1.3957875,0
1.3958,0
1.3958125,0
1.395825,0
1.3958375,0
1.39585,0
1.3958625,0
1.395875,0
1.3958875,0
1.3959,0
1.3959125,0
1.395925,0
1.3959375,0
1.39595,0
1.3959625,0
1.395975,0
1.3959875,0
1.396,0
1.3960125,0
1.396025,0
1.3960375,0
1.39605,0
1.3960625,0
1.396075,0
1.3960875,0
1.3961,0
1.3961125,0
1.396125,0
1.3961375,0
1.39615,0
1.3961625,0
1.396175,0
1.3961875,0
1.3962,0
1.3962125,0
1.396225,0
1.3962375,0
1.39625,0
1.3962625,0
1.396275,0
1.3962875,0
1.3963,0
1.3963125,0
1.396325,0
1.3963375,0
1.39635,0
1.3963625,0
1.396375,0
1.3963875,0
1.3964,0
1.3964125,0
1.396425,0
1.3964375,0
1.39645,0
1.3964625,0
1.396475,0
1.3964875,0
1.3965,0
1.3965125,0
1.396525,0
1.3965375,0
1.39655,0
1.3965625,0
1.396575,0
1.3965875,0
1.3966,0
1.3966125,0
1.396625,0
1.3966375,0
1.39665,0
1.3966625,0
1.396675,0
1.3966875,0
1.3967,0
1.3967125,0
1.396725,0
1.3967375,0
1.39675,0
1.3967625,0
1.396775,0
1.3967875,0
1.3968,0
1.3968125,0
1.396825,0
1.3968375,0
1.39685,0
1.3968625,0
1.396875,0
1.3968875,0
1.3969,0
1.3969125,0
1.396925,0
1.3969375,0
1.39695,0
1.3969625,0
1.396975,0
1.3969875,0
1.397,0
1.3970125,0
1.397025,0
1.3970375,0
1.39705,0
1.3970625,0
1.397075,0
1.3970875,0
1.3971,0
1.3971125,0
1.397125,0
1.3971375,0
1.39715,0
1.3971625,0
1.397175,0
1.3971875,0
1.3972,0
1.3972125,0
1.397225,0
1.3972375,0
1.39725,0
1.3972625,0
1.397275,0
1.3972875,0
1.3973,0
1.3973125,0
1.397325,0
1.3973375,0
1.39735,0
1.3973625,0
1.397375,0
1.3973875,0
1.3974,0
1.3974125,0
1.397425,0
1.3974375,0
1.39745,0
1.3974625,0
1.397475,0
1.3974875,0
1.3975,0
1.3975125,0
1.397525,0
1.3975375,0
1.39755,0
1.3975625,0
1.397575,0
1.3975875,0
1.3976,0
1.3976125,0
1.397625,0
1.3976375,0
1.39765,0
1.3976625,0
1.397675,0
1.3976875,0
1.3977,0
1.3977125,0
1.397725,0
1.3977375,0
1.39775,0
1.3977625,0
1.397775,0
1.3977875,0
1.3978,0
1.3978125,0
1.397825,0
1.3978375,0
1.39785,0
1.3978625,0
1.397875,0
1.3978875,0
1.3979,0
1.3979125,0
1.397925,0
1.3979375,0
1.39795,0
1.3979625,0
1.397975,0
1.3979875,0
1.398,0
1.3980125,0
1.398025,0
1.3980375,0
1.39805,0
1.3980625,0
1.398075,0
1.3980875,0
1.3981,0
1.3981125,0
1.398125,0
1.3981375,0
1.39815,0
1.3981625,0
1.398175,0
1.3981875,0
1.3982,0
1.3982125,0
1.398225,0
1.3982375,0
1.39825,0
1.3982625,0
1.398275,0
1.3982875,0
1.3983,0
1.3983125,0
1.398325,0
1.3983375,0
1.39835,0
1.3983625,0
1.398375,0
1.3983875,0
1.3984,0
1.3984125,0
1.398425,0
1.3984375,0
1.39845,0
1.3984625,0
1.398475,0
1.3984875,0
1.3985,0
1.3985125,0
1.398525,0
1.3985375,0
1.39855,0
1.3985625,0
1.398575,0
1.3985875,0
1.3986,0
1.3986125,0
1.398625,0
1.3986375,0
1.39865,0
1.3986625,0
1.398675,0
1.3986875,0
1.3987,0
1.3987125,0
1.398725,0
1.3987375,0
1.39875,0
1.3987625,0
1.398775,0
1.3987875,0
1.3988,0
1.3988125,0
1.398825,0
1.3988375,0
1.39885,0
1.3988625,0
1.398875,0
1.3988875,0
1.3989,0
1.3989125,0
1.398925,0
1.3989375,0
1.39895,0
1.3989625,0
1.398975,0
1.3989875,0
1.399,0
1.3990125,0
1.399025,0
1.3990375,0
1.39905,0
1.3990625,0
1.399075,0
1.3990875,0
1.3991,0
1.3991125,0
1.399125,0
1.3991375,0
1.39915,0
1.3991625,0
1.399175,0
1.3991875,0
1.3992,0
1.3992125,0
1.399225,0
1.3992375,0
1.39925,0
1.3992625,0
1.399275,0
1.3992875,0
1.3993,0
1.3993125,0
1.399325,0
1.3993375,0
1.39935,0
1.3993625,0
1.399375,0
1.3993875,0
1.3994,0
1.3994125,0
1.399425,0
1.3994375,0
1.39945,0
1.3994625,0
1.399475,0
1.3994875,0
1.3995,0
1.3995125,0
1.399525,0
1.3995375,0
1.39955,0
1.3995625,0
1.399575,0
1.3995875,0
1.3996,0
1.3996125,0
1.399625,0
1.3996375,0
1.39965,0
1.3996625,0
1.399675,0
1.3996875,0
1.3997,0
1.3997125,0
1.399725,0
1.3997375,0
1.39975,0
1.3997625,0
1.399775,0
1.3997875,0
1.3998,0
1.3998125,0
1.399825,0
1.3998375,0
1.39985,0
1.3998625,0
1.399875,0
1.3998875,0
1.3999,0
1.3999125,0
1.399925,0
1.3999375,0
1.39995,0
1.3999625,0
1.399975,0
1.3999875,0
1.4,0
